	code	name	squadMarketValue	competition	players	fixtures
89	BMG	Bor. Mönchengladbach	165,600,000 €	CL 16/17	http://api.football-data.org/v1/teams/18/players	http://api.football-data.org/v1/teams/18/fixtures
90	THFC	Tottenham Hotspur FC	365,500,000 €	CL 16/17	http://api.football-data.org/v1/teams/73/players	http://api.football-data.org/v1/teams/73/fixtures
91	MON	AS Monaco FC	164,250,000 €	CL 16/17	http://api.football-data.org/v1/teams/548/players	http://api.football-data.org/v1/teams/548/fixtures
92	FCB	FC Bayern München	582,225,000 €	BL 16/17	http://api.football-data.org/v1/teams/5/players	http://api.football-data.org/v1/teams/5/fixtures
93	SVW	Werder Bremen	67,750,000 €	BL 16/17	http://api.football-data.org/v1/teams/12/players	http://api.football-data.org/v1/teams/12/fixtures
94	FCA	FC Augsburg	61,200,000 €	BL 16/17	http://api.football-data.org/v1/teams/16/players	http://api.football-data.org/v1/teams/16/fixtures
95	WOB	VfL Wolfsburg	189,600,000 €	BL 16/17	http://api.football-data.org/v1/teams/11/players	http://api.football-data.org/v1/teams/11/fixtures
96	BVB	Borussia Dortmund	339,500,000 €	BL 16/17	http://api.football-data.org/v1/teams/4/players	http://api.football-data.org/v1/teams/4/fixtures
97	M05	1. FSV Mainz 05	79,950,000 €	BL 16/17	http://api.football-data.org/v1/teams/15/players	http://api.football-data.org/v1/teams/15/fixtures
98	SGE	Eintracht Frankfurt	61,350,000 €	BL 16/17	http://api.football-data.org/v1/teams/19/players	http://api.football-data.org/v1/teams/19/fixtures
99	S04	FC Schalke 04	213,975,000 €	BL 16/17	http://api.football-data.org/v1/teams/6/players	http://api.football-data.org/v1/teams/6/fixtures
100	HSV	Hamburger SV	80,150,000 €	BL 16/17	http://api.football-data.org/v1/teams/7/players	http://api.football-data.org/v1/teams/7/fixtures
101	FCI	FC Ingolstadt 04	37,000,000 €	BL 16/17	http://api.football-data.org/v1/teams/31/players	http://api.football-data.org/v1/teams/31/fixtures
102	EFFZEH	1. FC Köln	73,850,000 €	BL 16/17	http://api.football-data.org/v1/teams/1/players	http://api.football-data.org/v1/teams/1/fixtures
103	DAR	SV Darmstadt 98	26,950,000 €	BL 16/17	http://api.football-data.org/v1/teams/55/players	http://api.football-data.org/v1/teams/55/fixtures
104	BMG	Bor. Mönchengladbach	165,600,000 €	BL 16/17	http://api.football-data.org/v1/teams/18/players	http://api.football-data.org/v1/teams/18/fixtures
105	B04	Bayer Leverkusen	253,900,000 €	BL 16/17	http://api.football-data.org/v1/teams/3/players	http://api.football-data.org/v1/teams/3/fixtures
106	BSC	Hertha BSC	78,575,000 €	BL 16/17	http://api.football-data.org/v1/teams/9/players	http://api.football-data.org/v1/teams/9/fixtures
107	SCF	SC Freiburg	43,650,000 €	BL 16/17	http://api.football-data.org/v1/teams/17/players	http://api.football-data.org/v1/teams/17/fixtures
108	TSG	TSG 1899 Hoffenheim	86,225,000 €	BL 16/17	http://api.football-data.org/v1/teams/2/players	http://api.football-data.org/v1/teams/2/fixtures
109	RBL	Red Bull Leipzig	70,875,000 €	BL 16/17	http://api.football-data.org/v1/teams/721/players	http://api.football-data.org/v1/teams/721/fixtures
