id,goals_home,goals_away,odds_home_win,odds_away_win,draw,fixture_id
261,3,1,2.05,3.7,3.6,261
262,2,0,2,4,3.5,262
263,3,2,1.95,4.2,3.5,263
264,3,4,3.25,2.25,3.4,264
265,0,2,2.15,3.6,3.4,265
266,3,1,2.05,3.7,3.6,266
267,3,2,1.7,5,3.9,267
268,0,2,11,1.28,6,268
269,1,2,5.5,1.65,4,269
270,0,0,1.22,15,6.5,270
271,2,1,2.4,3,3.4,271
272,NaN,NaN,NaN,NaN,NaN,272
273,NaN,NaN,NaN,NaN,NaN,273
274,3,2,2.5,2.9,3.4,274
275,3,0,1.7,5.5,3.8,275
276,2,1,1.25,13,6.5,276
277,3,1,5.5,1.65,4,277
278,1,2,6,1.6,4,278
279,0,0,2.45,2.9,3.4,279
280,4,0,1.5,7,4.33,280
281,2,3,2.3,3.1,3.5,281
282,1,0,1.95,4,3.6,282
283,2,0,2.25,3.25,3.4,283
284,1,3,7,1.53,4.2,284
285,2,1,1.6,5.5,4.2,285
286,1,1,2.05,3.6,3.75,286
287,3,1,1.72,5.5,4,287
288,0,2,5.8,1.72,3.8,288
289,1,2,1.35,10,5.5,289
290,2,1,2.3,3.3,3.4,290
291,2,0,2,4.33,3.5,291
292,0,0,1.4,9.5,5,292
293,1,0,2,4.4,3.4,293
294,0,0,1.66,5.8,4,294
295,0,0,1.95,4.33,3.6,295
296,2,2,3.1,2.3,3.75,296
297,1,0,2.5,3,3.25,297
298,2,0,1.6,6,4.2,298
299,2,0,2.5,3,3.2,299
300,1,1,1.57,6,4.33,300
301,1,3,5,1.66,4,301
302,4,2,2.2,3.4,3.5,302
303,3,0,1.4,8,5,303
304,3,1,1.7,5,3.8,304
305,2,2,1.28,11,5.8,305
306,2,1,2.37,3.1,3.4,306
307,4,0,1.28,13,5.5,307
308,3,1,1.2,15,7.5,308
309,1,0,2.05,3.6,3.7,309
310,0,1,3.1,2.45,3.25,310
311,0,0,2.4,3,3.4,311
312,1,2,5,1.7,4,312
313,1,3,7,1.53,4.2,313
314,0,3,7.5,1.44,4.6,314
315,4,2,1.72,4.8,4,315
316,3,0,5,1.7,4,316
317,NaN,NaN,1.3,9.5,5.8,317
318,NaN,NaN,2.2,3.4,3.4,318
319,NaN,NaN,1.5,7,4.4,319
320,NaN,NaN,2,3.9,3.5,320
321,NaN,NaN,3.1,2.3,3.5,321
322,NaN,NaN,2.5,2.9,3.3,322
323,NaN,NaN,4.6,1.75,3.9,323
324,NaN,NaN,4.5,1.9,3.5,324
325,NaN,NaN,2.7,2.8,3.2,325
326,NaN,NaN,5.5,1.57,4.5,326
327,NaN,NaN,NaN,NaN,NaN,327
328,NaN,NaN,2.3,3.1,3.5,328
329,NaN,NaN,2,3.8,3.6,329
330,NaN,NaN,2.9,2.45,3.5,330
331,NaN,NaN,1.8,4.5,3.8,331
332,NaN,NaN,NaN,NaN,NaN,332
333,NaN,NaN,NaN,NaN,NaN,333
334,NaN,NaN,6.5,1.53,4.2,334
335,NaN,NaN,1.55,5.8,4.6,335
336,NaN,NaN,NaN,NaN,NaN,336
337,NaN,NaN,NaN,NaN,NaN,337
338,NaN,NaN,NaN,NaN,NaN,338
339,NaN,NaN,NaN,NaN,NaN,339
340,NaN,NaN,NaN,NaN,NaN,340
341,NaN,NaN,NaN,NaN,NaN,341
342,NaN,NaN,NaN,NaN,NaN,342
343,NaN,NaN,NaN,NaN,NaN,343
344,NaN,NaN,NaN,NaN,NaN,344
345,NaN,NaN,NaN,NaN,NaN,345
346,NaN,NaN,NaN,NaN,NaN,346
347,NaN,NaN,NaN,NaN,NaN,347
348,NaN,NaN,NaN,NaN,NaN,348
349,NaN,NaN,NaN,NaN,NaN,349
350,NaN,NaN,NaN,NaN,NaN,350
351,NaN,NaN,NaN,NaN,NaN,351
352,NaN,NaN,NaN,NaN,NaN,352
353,NaN,NaN,NaN,NaN,NaN,353
354,NaN,NaN,NaN,NaN,NaN,354
355,NaN,NaN,NaN,NaN,NaN,355
356,NaN,NaN,NaN,NaN,NaN,356
357,NaN,NaN,NaN,NaN,NaN,357
358,NaN,NaN,NaN,NaN,NaN,358
359,NaN,NaN,NaN,NaN,NaN,359
360,NaN,NaN,NaN,NaN,NaN,360
361,NaN,NaN,NaN,NaN,NaN,361
362,NaN,NaN,NaN,NaN,NaN,362
363,NaN,NaN,NaN,NaN,NaN,363
364,NaN,NaN,NaN,NaN,NaN,364
365,NaN,NaN,NaN,NaN,NaN,365
366,NaN,NaN,NaN,NaN,NaN,366
367,NaN,NaN,NaN,NaN,NaN,367
368,NaN,NaN,NaN,NaN,NaN,368
369,NaN,NaN,NaN,NaN,NaN,369
370,NaN,NaN,NaN,NaN,NaN,370
371,NaN,NaN,NaN,NaN,NaN,371
372,NaN,NaN,NaN,NaN,NaN,372
373,NaN,NaN,NaN,NaN,NaN,373
374,NaN,NaN,NaN,NaN,NaN,374
375,NaN,NaN,NaN,NaN,NaN,375
376,NaN,NaN,NaN,NaN,NaN,376
377,NaN,NaN,NaN,NaN,NaN,377
378,NaN,NaN,NaN,NaN,NaN,378
379,NaN,NaN,NaN,NaN,NaN,379
380,NaN,NaN,NaN,NaN,NaN,380
381,4,0,1.35,9.5,4.75,381
382,2,1,1.53,7,3.8,382
383,3,2,1.85,4.5,3.3,383
384,3,1,2.05,3.7,3.3,384
385,3,4,3.1,2.45,3.1,385
386,1,0,2.1,3.7,3.2,386
387,2,0,3.9,2,3.25,387
388,0,1,2.37,3.2,3.1,388
389,0,1,2.7,2.75,3.1,389
390,2,2,8,1.44,4.2,390
391,0,1,5,1.75,3.4,391
392,4,2,1.65,5,3.9,392
393,1,1,1.33,10,4.6,393
394,2,2,3.9,1.85,3.75,394
395,1,3,3.6,2.05,3.4,395
396,1,0,1.61,6,3.6,396
397,2,1,2.2,3.4,3.2,397
398,5,1,1.8,4.75,3.4,398
399,2,0,2.05,3.7,3.3,399
400,0,3,1.61,6,3.7,400
401,3,1,1.33,13,5,401
402,0,3,9,1.4,5,402
403,2,1,2.15,3.8,3.25,403
404,3,2,1.36,10,5.5,404
405,0,1,1.66,5.5,3.9,405
406,1,1,3.2,2.45,3.2,406
407,2,1,2.62,2.9,3.25,407
408,1,2,5,1.8,3.75,408
409,2,1,1.61,6.5,4,409
410,0,1,3.1,2.37,3.25,410
411,3,0,1.5,7.5,3.9,411
412,3,1,1.28,12,5.5,412
413,1,2,2.15,3.5,3.2,413
414,0,0,1.8,4.6,3.5,414
415,2,0,2.3,3.1,3.25,415
416,3,0,2.5,2.87,3.25,416
417,1,1,2.87,2.5,3.2,417
418,2,1,4,1.95,3.4,418
419,1,0,2.87,2.45,3.25,419
420,2,0,2.2,3.4,3.2,420
421,2,0,2.4,3.2,3,421
422,0,1,1.61,5.5,3.9,422
423,2,1,2.45,3.1,3.1,423
424,0,0,4.6,1.75,3.6,424
425,4,0,1.18,21,6.5,425
426,0,0,3.1,2.3,3.2,426
427,0,2,4,1.95,3.4,427
428,4,0,1.11,19,8.5,428
429,2,2,3.25,2.3,3.2,429
430,0,1,11,1.33,4.8,430
431,2,0,1.28,13,5.5,431
432,3,1,3.25,2.2,3.4,432
433,1,1,1.6,5.5,4,433
434,1,1,1.36,9,4.5,434
435,2,0,1.53,6.5,4.2,435
436,1,0,1.8,4.5,3.6,436
437,0,0,2.25,3.25,3.3,437
438,1,3,3.7,1.95,3.4,438
439,2,1,2.25,3.2,3.3,439
440,0,2,2.62,2.87,3.1,440
441,0,3,3.1,2.45,3.1,441
442,0,3,11,1.3,5,442
443,2,1,1.55,6,4,443
444,1,0,6,1.57,3.8,444
445,0,1,2.37,3.5,3.1,445
446,1,1,1.7,5,3.7,446
447,4,3,1.61,5.5,3.9,447
448,2,1,2.4,3,3.2,448
449,2,1,1.95,3.9,3.5,449
450,1,3,1.95,3.8,3.5,450
451,1,1,2.45,3.2,3.25,451
452,2,1,1.2,19,6,452
453,0,0,1.72,5,3.6,453
454,2,1,1.53,7,4.33,454
455,0,0,1.8,5,3.6,455
456,1,2,1.4,8.5,4.5,456
457,1,1,1.53,7.5,4.2,457
458,1,3,2.75,2.75,3,458
459,1,4,3.8,2,3.4,459
460,2,1,3.1,2.5,3.2,460
461,1,0,5,1.83,3.6,461
462,3,1,1.85,4.2,3.5,462
463,2,2,2.25,3.3,3.25,463
464,2,1,3.3,2.25,3.2,464
465,3,5,3.1,2.4,3.1,465
466,1,2,13,1.25,5.8,466
467,0,0,2.6,3,2.9,467
468,1,1,2.5,3,3,468
469,4,1,1.18,17,7,469
470,3,0,2.8,2.6,3.2,470
471,2,1,2,3.9,3.3,471
472,4,1,1.18,19,6.5,472
473,4,1,1.5,6.5,4.2,473
474,2,0,1.25,13,5.5,474
475,1,1,1.25,13,5.8,475
476,1,3,4.2,1.85,3.5,476
477,1,1,2.1,3.7,3.2,477
478,0,1,2.87,2.5,3.2,478
479,1,3,2.87,2.5,3.2,479
480,0,1,3.25,2.2,3.3,480
481,2,1,1.8,4.2,3.75,481
482,3,0,2.3,3,3.4,482
483,1,0,1.44,7.5,4.4,483
484,2,1,1.75,4.4,3.8,484
485,2,0,3.25,2.25,3.3,485
486,0,0,6,1.55,4,486
487,1,0,3.3,2.1,3.5,487
488,2,2,2.9,2.5,3.1,488
489,2,1,1.75,4.2,3.8,489
490,5,1,1.6,6,4,490
491,1,1,1.7,5.5,4,491
492,0,4,2.37,3.3,3.25,492
493,1,1,1.95,4.33,3.6,493
494,1,2,5.5,1.7,3.9,494
495,0,3,2.5,3,3.25,495
496,1,2,9,1.44,4.2,496
497,3,0,1.25,15,6,497
498,1,1,1.57,6.5,4.2,498
499,3,0,1.28,11,6,499
500,1,0,NaN,NaN,NaN,500
501,1,2,NaN,NaN,NaN,501
502,3,0,NaN,NaN,NaN,502
503,3,2,NaN,NaN,NaN,503
504,2,1,NaN,NaN,NaN,504
505,3,1,NaN,NaN,NaN,505
